snapshot_utc,snapshot_ms,pair,best_bid_px,best_bid_qty,best_ask_px,best_ask_qty,bid_qty_sum_top20,ask_qty_sum_top20,mexc_timestamp_ms,raw_bids_json,raw_asks_json
2026-08-24T15:08:34.506377Z,1787584114506,PIPPINUSDT,0.019012,1424.82,0.019089,19223.83,187058.2,197695.07,1787584114348,"[[""0.019012"", ""1424.82""], [""0.019010"", ""82.86""], [""0.019002"", ""18387.73""], [""0.019001"", ""9139.78""], [""0.018999"", ""9141.30""], [""0.018980"", ""54818.98""], [""0.018979"", ""27409.49""], [""0.018903"", ""147.77""], [""0.018896"", ""1493.48""], [""0.018889"", ""129.21""], [""0.018853"", ""1622.09""], [""0.018840"", ""1265.99""], [""0.018833"", ""2914.95""], [""0.018829"", ""3026.67""], [""0.018828"", ""3157.86""], [""0.018823"", ""1144.53""], [""0.018751"", ""176.24""], [""0.018677"", ""192.12""], [""0.018606"", ""4365.13""], [""0.018605"", ""47017.20""]]","[[""0.019089"", ""19223.83""], [""0.019090"", ""5238.34""], [""0.019092"", ""11915.98""], [""0.019094"", ""4170.00""], [""0.019100"", ""9133.54""], [""0.019109"", ""10309.34""], [""0.019110"", ""8220.00""], [""0.019111"", ""27399.06""], [""0.019112"", ""8100.00""], [""0.019113"", ""9133.46""], [""0.019114"", ""2970.11""], [""0.019115"", ""27398.70""], [""0.019116"", ""27398.70""], [""0.019119"", ""201.60""], [""0.019161"", ""190.73""], [""0.019196"", ""8840.00""], [""0.019199"", ""3776.50""], [""0.019202"", ""1982.81""], [""0.019203"", ""6937.97""], [""0.019204"", ""5154.40""]]"
2026-08-24T15:08:34.506377Z,1787584114506,NILUSDT,0.04353,735.00,0.04367,117.30,58286.39,89652.46,1787584115013,"[[""0.04353"", ""735.00""], [""0.04350"", ""50.00""], [""0.04349"", ""641.10""], [""0.04348"", ""6075.00""], [""0.04345"", ""628.00""], [""0.04344"", ""3244.50""], [""0.04340"", ""2500.00""], [""0.04339"", ""1388.21""], [""0.04338"", ""2500.00""], [""0.04337"", ""21150.00""], [""0.04333"", ""1197.78""], [""0.04332"", ""7984.04""], [""0.04331"", ""1176.71""], [""0.04330"", ""8480.07""], [""0.04329"", ""210.78""], [""0.04328"", ""210.78""], [""0.04327"", ""29.17""], [""0.04326"", ""27.74""], [""0.04325"", ""27.75""], [""0.04324"", ""29.76""]]","[[""0.04367"", ""117.30""], [""0.04368"", ""3038.00""], [""0.04373"", ""880.60""], [""0.04374"", ""4326.00""], [""0.04378"", ""11203.00""], [""0.04383"", ""10075.10""], [""0.04385"", ""212.22""], [""0.04386"", ""329.85""], [""0.04387"", ""12671.52""], [""0.04388"", ""106.65""], [""0.04389"", ""329.94""], [""0.04390"", ""6041.31""], [""0.04391"", ""106.65""], [""0.04392"", ""106.65""], [""0.04393"", ""27.32""], [""0.04394"", ""282.15""], [""0.04397"", ""29250.00""], [""0.04398"", ""3244.50""], [""0.04400"", ""5947.66""], [""0.04416"", ""1356.04""]]"
2026-08-24T15:10:02.205726Z,1787584202205,PIPPINUSDT,0.019019,82.81,0.019101,19223.83,189556.22,175882.66999999998,1787584201949,"[[""0.019019"", ""82.81""], [""0.019006"", ""4365.13""], [""0.019004"", ""18263.72""], [""0.018986"", ""27389.71""], [""0.018985"", ""54779.42""], [""0.018977"", ""9129.55""], [""0.018903"", ""147.77""], [""0.018889"", ""129.21""], [""0.018881"", ""1504.90""], [""0.018853"", ""1622.09""], [""0.018840"", ""1265.99""], [""0.018833"", ""2914.95""], [""0.018829"", ""3026.67""], [""0.018828"", ""3157.86""], [""0.018823"", ""1144.53""], [""0.018751"", ""176.24""], [""0.018677"", ""192.12""], [""0.018601"", ""47027.31""], [""0.018600"", ""13127.38""], [""0.018597"", ""108.86""]]","[[""0.019101"", ""19223.83""], [""0.019102"", ""1739.29""], [""0.019108"", ""3667.00""], [""0.019110"", ""2751.15""], [""0.019119"", ""201.60""], [""0.019128"", ""13854.03""], [""0.019132"", ""8220.00""], [""0.019133"", ""6036.41""], [""0.019135"", ""18246.48""], [""0.019138"", ""54696.20""], [""0.019148"", ""27346.67""], [""0.019161"", ""190.73""], [""0.019170"", ""3650.00""], [""0.019171"", ""3155.41""], [""0.019172"", ""1773.08""], [""0.019173"", ""1771.72""], [""0.019189"", ""5748.01""], [""0.019193"", ""2024.52""], [""0.019202"", ""208.64""], [""0.019204"", ""1377.90""]]"
2026-08-24T15:10:02.205726Z,1787584202205,NILUSDT,0.04351,117.00,0.04365,822.68,115737.21,89491.0,1787584202314,"[[""0.04351"", ""117.00""], [""0.04350"", ""50.00""], [""0.04349"", ""641.10""], [""0.04348"", ""6075.00""], [""0.04342"", ""4398.18""], [""0.04341"", ""628.00""], [""0.04338"", ""2734.53""], [""0.04337"", ""29516.00""], [""0.04331"", ""987.00""], [""0.04329"", ""1867.03""], [""0.04328"", ""9628.98""], [""0.04327"", ""210.78""], [""0.04326"", ""458.64""], [""0.04325"", ""27.75""], [""0.04324"", ""32.75""], [""0.04323"", ""27.76""], [""0.04322"", ""31.98""], [""0.04321"", ""328.95""], [""0.04320"", ""27.78""], [""0.04318"", ""57948.00""]]","[[""0.04365"", ""822.68""], [""0.04368"", ""3038.00""], [""0.04371"", ""874.40""], [""0.04372"", ""4954.00""], [""0.04374"", ""7634.00""], [""0.04378"", ""10575.00""], [""0.04382"", ""3948.00""], [""0.04384"", ""3823.92""], [""0.04385"", ""8481.60""], [""0.04386"", ""27.36""], [""0.04387"", ""210.42""], [""0.04388"", ""210.42""], [""0.04389"", ""210.42""], [""0.04390"", ""5815.94""], [""0.04391"", ""210.51""], [""0.04392"", ""210.51""], [""0.04393"", ""27.32""], [""0.04395"", ""5922.00""], [""0.04397"", ""29250.00""], [""0.04398"", ""3244.50""]]"
2026-08-24T16:10:02.063890Z,1787587802063,PIPPINUSDT,0.019244,4365.13,0.019355,2401.22,139167.66,174247.65,1787587801949,"[[""0.019244"", ""4365.13""], [""0.019242"", ""4365.13""], [""0.019234"", ""181.59""], [""0.019224"", ""2601.35""], [""0.019222"", ""9017.02""], [""0.019215"", ""27052.24""], [""0.019214"", ""54098.88""], [""0.019207"", ""9021.23""], [""0.019197"", ""9016.60""], [""0.019195"", ""9016.60""], [""0.019166"", ""1215.59""], [""0.019162"", ""104.68""], [""0.019161"", ""1440.04""], [""0.019075"", ""221.21""], [""0.019069"", ""1105.35""], [""0.019028"", ""1269.81""], [""0.019021"", ""1212.45""], [""0.019020"", ""1383.47""], [""0.019018"", ""1209.48""], [""0.019017"", ""1269.81""]]","[[""0.019355"", ""2401.22""], [""0.019356"", ""1474.67""], [""0.019377"", ""4170.00""], [""0.019378"", ""37549.77""], [""0.019379"", ""54079.96""], [""0.019396"", ""10309.34""], [""0.019397"", ""8220.00""], [""0.019398"", ""27038.23""], [""0.019404"", ""1591.50""], [""0.019427"", ""175.76""], [""0.019430"", ""6036.41""], [""0.019439"", ""2671.15""], [""0.019446"", ""1717.00""], [""0.019447"", ""1373.70""], [""0.019457"", ""1619.98""], [""0.019481"", ""1717.00""], [""0.019491"", ""5427.81""], [""0.019494"", ""3359.11""], [""0.019498"", ""3156.38""], [""0.019503"", ""158.66""]]"
2026-08-24T16:10:02.063890Z,1787587802063,NILUSDT,0.04349,6075.00,0.04365,628.00,119734.6,89372.15,1787587802713,"[[""0.04349"", ""6075.00""], [""0.04343"", ""3231.52""], [""0.04341"", ""628.00""], [""0.04340"", ""21150.00""], [""0.04335"", ""234.53""], [""0.04334"", ""8070.00""], [""0.04330"", ""9648.15""], [""0.04329"", ""1092.57""], [""0.04328"", ""27.73""], [""0.04327"", ""211.14""], [""0.04326"", ""546.70""], [""0.04325"", ""9643.92""], [""0.04324"", ""30.23""], [""0.04323"", ""328.95""], [""0.04322"", ""30.64""], [""0.04321"", ""295.68""], [""0.04319"", ""54000.00""], [""0.04316"", ""3948.00""], [""0.04310"", ""515.60""], [""0.04300"", ""26.24""]]","[[""0.04365"", ""628.00""], [""0.04367"", ""427.10""], [""0.04368"", ""1018.85""], [""0.04369"", ""1307.81""], [""0.04370"", ""3038.00""], [""0.04371"", ""3948.00""], [""0.04376"", ""10575.00""], [""0.04380"", ""3244.50""], [""0.04381"", ""210.60""], [""0.04382"", ""210.42""], [""0.04383"", ""1942.54""], [""0.04384"", ""210.42""], [""0.04385"", ""8140.42""], [""0.04386"", ""634.68""], [""0.04387"", ""8735.31""], [""0.04388"", ""27.35""], [""0.04389"", ""9951.12""], [""0.04390"", ""210.33""], [""0.04395"", ""5661.70""], [""0.04397"", ""29250.00""]]"
2026-08-24T17:10:01.507957Z,1787591401507,PIPPINUSDT,0.018685,4892.39,0.018837,40125.64,171220.44,207254.61000000002,1787591401949,"[[""0.018685"", ""4892.39""], [""0.018684"", ""170.22""], [""0.018630"", ""3819.48""], [""0.018629"", ""27828.13""], [""0.018617"", ""55665.53""], [""0.018595"", ""192.47""], [""0.018594"", ""1586.40""], [""0.018592"", ""1538.79""], [""0.018585"", ""9271.68""], [""0.018584"", ""9271.68""], [""0.018546"", ""2463.14""], [""0.018537"", ""1075.19""], [""0.018528"", ""212.71""], [""0.018461"", ""1275.40""], [""0.018451"", ""1313.67""], [""0.018450"", ""159.00""], [""0.018444"", ""1275.40""], [""0.018440"", ""1152.69""], [""0.018392"", ""205.97""], [""0.018281"", ""47850.50""]]","[[""0.018837"", ""40125.64""], [""0.018838"", ""536.00""], [""0.018843"", ""1002.90""], [""0.018847"", ""12866.76""], [""0.018850"", ""27825.90""], [""0.018852"", ""55625.12""], [""0.018864"", ""226.08""], [""0.018866"", ""3335.58""], [""0.018867"", ""4118.50""], [""0.018868"", ""6729.31""], [""0.018870"", ""14256.41""], [""0.018871"", ""18539.72""], [""0.018872"", ""5873.56""], [""0.018875"", ""1592.05""], [""0.018911"", ""3700.00""], [""0.018912"", ""1760.91""], [""0.018917"", ""5280.00""], [""0.018918"", ""2024.52""], [""0.018928"", ""1619.98""], [""0.018967"", ""215.67""]]"
2026-08-24T17:10:01.507957Z,1787591401507,NILUSDT,0.04298,1674.70,0.04310,538.92,117039.38,156161.29,1787591399714,"[[""0.04298"", ""1674.70""], [""0.04292"", ""6075.00""], [""0.04289"", ""1608.52""], [""0.04285"", ""965.22""], [""0.04284"", ""1781.68""], [""0.04283"", ""21150.00""], [""0.04279"", ""28.69""], [""0.04278"", ""1200.57""], [""0.04277"", ""28.06""], [""0.04276"", ""8282.32""], [""0.04275"", ""1269.92""], [""0.04274"", ""8610.57""], [""0.04273"", ""28.83""], [""0.04272"", ""28.09""], [""0.04271"", ""28.10""], [""0.04270"", ""32.17""], [""0.04265"", ""3948.00""], [""0.04258"", ""54000.00""], [""0.04255"", ""489.27""], [""0.04248"", ""5809.67""]]","[[""0.04310"", ""538.92""], [""0.04311"", ""930.88""], [""0.04313"", ""3038.00""], [""0.04316"", ""429.95""], [""0.04317"", ""975.00""], [""0.04318"", ""4326.00""], [""0.04320"", ""628.00""], [""0.04322"", ""10575.00""], [""0.04325"", ""3244.50""], [""0.04328"", ""25124.72""], [""0.04329"", ""213.12""], [""0.04330"", ""213.12""], [""0.04331"", ""8744.76""], [""0.04332"", ""23426.19""], [""0.04333"", ""8028.29""], [""0.04334"", ""106.29""], [""0.04335"", ""11604.15""], [""0.04336"", ""19711.89""], [""0.04337"", ""31058.01""], [""0.04345"", ""3244.50""]]"
2026-08-24T18:10:01.793950Z,1787595001793,PIPPINUSDT,0.018775,4232.13,0.018874,2895.69,144490.38,196198.16,1787595001848,"[[""0.018775"", ""4232.13""], [""0.018774"", ""147.68""], [""0.018759"", ""3027.42""], [""0.018758"", ""2177.26""], [""0.018754"", ""4232.13""], [""0.018752"", ""18496.70""], [""0.018749"", ""27708.48""], [""0.018746"", ""55479.54""], [""0.018734"", ""9243.03""], [""0.018732"", ""1094.00""], [""0.018724"", ""9243.03""], [""0.018685"", ""211.66""], [""0.018639"", ""1146.82""], [""0.018633"", ""1149.10""], [""0.018630"", ""3532.37""], [""0.018624"", ""1773.03""], [""0.018617"", ""113.99""], [""0.018593"", ""1160.11""], [""0.018556"", ""198.91""], [""0.018468"", ""122.99""]]","[[""0.018874"", ""2895.69""], [""0.018877"", ""1572.13""], [""0.018894"", ""36552.58""], [""0.018895"", ""12304.84""], [""0.018904"", ""536.00""], [""0.018905"", ""4170.00""], [""0.018906"", ""27706.27""], [""0.018907"", ""27706.27""], [""0.018908"", ""27706.27""], [""0.018918"", ""192.15""], [""0.018925"", ""8220.00""], [""0.018926"", ""18460.56""], [""0.018951"", ""8100.00""], [""0.018952"", ""3690.00""], [""0.018988"", ""190.40""], [""0.019007"", ""5260.00""], [""0.019008"", ""1855.21""], [""0.019010"", ""1758.50""], [""0.019011"", ""3642.44""], [""0.019012"", ""3678.85""]]"
2026-08-24T18:10:01.793950Z,1787595001793,NILUSDT,0.04396,6075.00,0.04411,586.95,126979.33,102351.76,1787595002513,"[[""0.04396"", ""6075.00""], [""0.04385"", ""855.24""], [""0.04384"", ""21150.00""], [""0.04378"", ""1221.53""], [""0.04376"", ""1075.32""], [""0.04375"", ""2745.98""], [""0.04374"", ""4034.71""], [""0.04373"", ""32.64""], [""0.04372"", ""27.45""], [""0.04371"", ""208.89""], [""0.04370"", ""208.89""], [""0.04369"", ""27.47""], [""0.04368"", ""55164.96""], [""0.04367"", ""2163.00""], [""0.04365"", ""11025.00""], [""0.04355"", ""409.00""], [""0.04346"", ""3052.42""], [""0.04345"", ""5363.54""], [""0.04344"", ""4857.08""], [""0.04343"", ""7281.21""]]","[[""0.04411"", ""586.95""], [""0.04412"", ""115.90""], [""0.04413"", ""2500.00""], [""0.04414"", ""3773.20""], [""0.04415"", ""4326.00""], [""0.04417"", ""3038.00""], [""0.04425"", ""11203.00""], [""0.04427"", ""3244.50""], [""0.04428"", ""208.08""], [""0.04429"", ""5020.17""], [""0.04430"", ""3288.24""], [""0.04431"", ""34702.11""], [""0.04432"", ""207.90""], [""0.04433"", ""207.90""], [""0.04434"", ""9238.41""], [""0.04435"", ""631.17""], [""0.04436"", ""209.52""], [""0.04437"", ""9898.11""], [""0.04440"", ""8868.00""], [""0.04443"", ""1084.60""]]"
